"﻿head","tail","relation","weight"
"Attribute:IssuePriority","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:IssueAssignee","HAS_ATTRIBUTE",""
"Attribute:IssueAssignee","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:IssueReporter","HAS_ATTRIBUTE",""
"Attribute:IssueReporter","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:IssueCreatedAt","HAS_ATTRIBUTE",""
"Attribute:IssueCreatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:IssueUpdatedAt","HAS_ATTRIBUTE",""
"Attribute:IssueUpdatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestID","HAS_ATTRIBUTE",""
"Attribute:MergeRequestID","AttributeType:numeric","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestTitle","HAS_ATTRIBUTE",""
"Attribute:MergeRequestTitle","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestDescription","HAS_ATTRIBUTE",""
"Attribute:MergeRequestDescription","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestStatus","HAS_ATTRIBUTE",""
"Attribute:MergeRequestStatus","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestAssignee","HAS_ATTRIBUTE",""
"Attribute:MergeRequestAssignee","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestAuthor","HAS_ATTRIBUTE",""
"Attribute:MergeRequestAuthor","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestCreatedAt","HAS_ATTRIBUTE",""
"Attribute:MergeRequestCreatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:MergeRequestUpdatedAt","HAS_ATTRIBUTE",""
"Attribute:MergeRequestUpdatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:CommitID","HAS_ATTRIBUTE",""
"Attribute:CommitID","AttributeType:numeric","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:CommitMessage","HAS_ATTRIBUTE",""
"Attribute:CommitMessage","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:CommitAuthor","HAS_ATTRIBUTE",""
"Attribute:CommitAuthor","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:CommitCommitter","HAS_ATTRIBUTE",""
"Attribute:CommitCommitter","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:CommitCreatedAt","HAS_ATTRIBUTE",""
"Attribute:CommitCreatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:UserID","HAS_ATTRIBUTE",""
"Attribute:UserID","AttributeType:numeric","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:UserName","HAS_ATTRIBUTE",""
"Attribute:UserName","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:UserEmail","HAS_ATTRIBUTE",""
"Attribute:UserEmail","AttributeType:text","HAS_TYPE",""
"Schema:Projects, Issues, Merge Requests, Commits, Users","Attribute:UserCreatedAt","HAS_ATTRIBUTE",""
"Attribute:UserCreatedAt","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Entity Name","HAS_ATTRIBUTE",""
"Attribute:Entity Name","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Entity Type","HAS_ATTRIBUTE",""
"Attribute:Entity Type","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Risk Category","HAS_ATTRIBUTE",""
"Attribute:Risk Category","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Risk Description","HAS_ATTRIBUTE",""
"Attribute:Risk Description","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control ID","HAS_ATTRIBUTE",""
"Attribute:Control ID","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Description","HAS_ATTRIBUTE",""
"Attribute:Control Description","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Owner","HAS_ATTRIBUTE",""
"Attribute:Control Owner","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Frequency","HAS_ATTRIBUTE",""
"Attribute:Control Frequency","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Test Plan","HAS_ATTRIBUTE",""
"Attribute:Control Test Plan","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Test Result","HAS_ATTRIBUTE",""
"Attribute:Control Test Result","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Test Date","HAS_ATTRIBUTE",""
"Attribute:Control Test Date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Control Test Comments","HAS_ATTRIBUTE",""
"Attribute:Control Test Comments","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Standard","HAS_ATTRIBUTE",""
"Attribute:Compliance Standard","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Requirement","HAS_ATTRIBUTE",""
"Attribute:Compliance Requirement","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Test Plan","HAS_ATTRIBUTE",""
"Attribute:Compliance Test Plan","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Test Result","HAS_ATTRIBUTE",""
"Attribute:Compliance Test Result","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Test Date","HAS_ATTRIBUTE",""
"Attribute:Compliance Test Date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Compliance Test Comments","HAS_ATTRIBUTE",""
"Attribute:Compliance Test Comments","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue ID","HAS_ATTRIBUTE",""
"Attribute:Issue ID","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Description","HAS_ATTRIBUTE",""
"Attribute:Issue Description","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Status","HAS_ATTRIBUTE",""
"Attribute:Issue Status","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Priority","HAS_ATTRIBUTE",""
"Attribute:Issue Priority","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Assigned To","HAS_ATTRIBUTE",""
"Attribute:Issue Assigned To","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Reported By","HAS_ATTRIBUTE",""
"Attribute:Issue Reported By","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Reported Date","HAS_ATTRIBUTE",""
"Attribute:Issue Reported Date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Resolved Date","HAS_ATTRIBUTE",""
"Attribute:Issue Resolved Date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:Issue Resolution Comments","HAS_ATTRIBUTE",""
"Attribute:Issue Resolution Comments","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:External Source Name","HAS_ATTRIBUTE",""
"Attribute:External Source Name","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:External Source URL","HAS_ATTRIBUTE",""
"Attribute:External Source URL","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:External Source Date","HAS_ATTRIBUTE",""
"Attribute:External Source Date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Standards, Controls, Risks, Issues, Incidents","Attribute:External Source Comments","HAS_ATTRIBUTE",""
"Attribute:External Source Comments","AttributeType:text","HAS_TYPE",""
"Schema:Posts, Hashtags","Attribute:Likes","HAS_ATTRIBUTE",""
"Attribute:Likes","AttributeType:numeric","HAS_TYPE",""
"Schema:Posts, Hashtags","Attribute:Users","HAS_ATTRIBUTE",""
"Attribute:Users","AttributeType:text","HAS_TYPE",""
"Schema:Posts, Hashtags","Attribute:Posts","HAS_ATTRIBUTE",""
"Attribute:Posts","AttributeType:text","HAS_TYPE",""
"Schema:Posts, Hashtags","Attribute:Comments","HAS_ATTRIBUTE",""
"Attribute:Comments","AttributeType:text","HAS_TYPE",""
"Schema:Posts, Hashtags","Attribute:Hashtags","HAS_ATTRIBUTE",""
"Attribute:Hashtags","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Premium amount","HAS_ATTRIBUTE",""
"Attribute:Premium amount","AttributeType:numeric","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Deductible amount","HAS_ATTRIBUTE",""
"Attribute:Deductible amount","AttributeType:numeric","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Insured item value","HAS_ATTRIBUTE",""
"Attribute:Insured item value","AttributeType:numeric","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Coverage start date","HAS_ATTRIBUTE",""
"Attribute:Coverage start date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Coverage end date","HAS_ATTRIBUTE",""
"Attribute:Coverage end date","AttributeType:date","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Policy holder name","HAS_ATTRIBUTE",""
"Attribute:Policy holder name","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Policy number","HAS_ATTRIBUTE",""
"Attribute:Policy number","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Coverage type","HAS_ATTRIBUTE",""
"Attribute:Coverage type","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Insured item","HAS_ATTRIBUTE",""
"Attribute:Insured item","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Policy status","HAS_ATTRIBUTE",""
"Attribute:Policy status","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Payment history","HAS_ATTRIBUTE",""
"Attribute:Payment history","AttributeType:text","HAS_TYPE",""
"Schema:Policies, Claims, Customers, Agents","Attribute:Claim history","HAS_ATTRIBUTE",""
"Attribute:Claim history","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:IssueID","HAS_ATTRIBUTE",""
"Attribute:IssueID","AttributeType:numeric","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Summary","HAS_ATTRIBUTE",""
"Attribute:Summary","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Description","HAS_ATTRIBUTE",""
"Attribute:Description","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Status","HAS_ATTRIBUTE",""
"Attribute:Status","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Priority","HAS_ATTRIBUTE",""
"Attribute:Priority","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Assignee","HAS_ATTRIBUTE",""
"Attribute:Assignee","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Reporter","HAS_ATTRIBUTE",""
"Attribute:Reporter","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:CreatedDate","HAS_ATTRIBUTE",""
"Attribute:CreatedDate","AttributeType:date","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:ResolvedDate","HAS_ATTRIBUTE",""
"Attribute:ResolvedDate","AttributeType:date","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:ProjectID","HAS_ATTRIBUTE",""
"Attribute:ProjectID","AttributeType:numeric","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Name","HAS_ATTRIBUTE",""
"Attribute:Name","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Lead","HAS_ATTRIBUTE",""
"Attribute:Lead","AttributeType:text","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:LastModifiedDate","HAS_ATTRIBUTE",""
"Attribute:LastModifiedDate","AttributeType:date","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:UserID","HAS_ATTRIBUTE",""
"Attribute:UserID","AttributeType:numeric","HAS_TYPE",""
"Schema:Issues, Projects, Users","Attribute:Email","HAS_ATTRIBUTE",""
"Attribute:Email","AttributeType:text","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:ShipmentID","HAS_ATTRIBUTE",""
"Attribute:ShipmentID","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:OrderID","HAS_ATTRIBUTE",""
"Attribute:OrderID","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:WarehouseID","HAS_ATTRIBUTE",""
"Attribute:WarehouseID","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:Destination","HAS_ATTRIBUTE",""
"Attribute:Destination","AttributeType:text","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:ShipmentDate","HAS_ATTRIBUTE",""
"Attribute:ShipmentDate","AttributeType:date","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:DeliveryDate","HAS_ATTRIBUTE",""
"Attribute:DeliveryDate","AttributeType:date","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:Status","HAS_ATTRIBUTE",""
"Attribute:Status","AttributeType:text","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:WarehouseName","HAS_ATTRIBUTE",""
"Attribute:WarehouseName","AttributeType:text","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:Location","HAS_ATTRIBUTE",""
"Attribute:Location","AttributeType:text","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:ProductID","HAS_ATTRIBUTE",""
"Attribute:ProductID","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:Quantity","HAS_ATTRIBUTE",""
"Attribute:Quantity","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:CustomerID","HAS_ATTRIBUTE",""
"Attribute:CustomerID","AttributeType:numeric","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:OrderDate","HAS_ATTRIBUTE",""
"Attribute:OrderDate","AttributeType:date","HAS_TYPE",""
"Schema:Shipments, Warehouses, Inventory, Orders, Tracking Information","Attribute:TotalAmount","HAS_ATTRIBUTE",""
"Attribute:TotalAmount","AttributeType:numeric","HAS_TYPE",""
"Schema:Article, Author, Date, Category, Tags","Attribute:Article","HAS_ATTRIBUTE",""
"Attribute:Article","AttributeType:text","HAS_TYPE",""
"Schema:Article, Author, Date, Category, Tags","Attribute:Author","HAS_ATTRIBUTE",""
"Attribute:Author","AttributeType:text","HAS_TYPE",""
"Schema:Article, Author, Date, Category, Tags","Attribute:Date","HAS_ATTRIBUTE",""
"Attribute:Date","AttributeType:date","HAS_TYPE",""
"Schema:Article, Author, Date, Category, Tags","Attribute:Category","HAS_ATTRIBUTE",""
"Attribute:Category","AttributeType:text","HAS_TYPE",""
"Schema:Article, Author, Date, Category, Tags","Attribute:Tags","HAS_ATTRIBUTE",""
"Attribute:Tags","AttributeType:text","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Title","HAS_ATTRIBUTE",""
"Attribute:Title","AttributeType:text","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Author","HAS_ATTRIBUTE",""
"Attribute:Author","AttributeType:text","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Date","HAS_ATTRIBUTE",""
"Attribute:Date","AttributeType:date","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Category","HAS_ATTRIBUTE",""
"Attribute:Category","AttributeType:text","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Tags","HAS_ATTRIBUTE",""
"Attribute:Tags","AttributeType:text","HAS_TYPE",""
"Schema:Articles, Authors, Comments, Categories","Attribute:Content","HAS_ATTRIBUTE",""
"Attribute:Content","AttributeType:text","HAS_TYPE",""
"Schema:Location, Radiation level, Timestamp","Attribute:Location","HAS_ATTRIBUTE",""
"Attribute:Location","AttributeType:text","HAS_TYPE",""
"Schema:Location, Radiation level, Timestamp","Attribute:Radiation level","HAS_ATTRIBUTE",""
"Attribute:Radiation level","AttributeType:numeric","HAS_TYPE",""
"Schema:Location, Radiation level, Timestamp","Attribute:Timestamp","HAS_ATTRIBUTE",""
"Attribute:Timestamp","AttributeType:date","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Title","HAS_ATTRIBUTE",""
"Attribute:Title","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Abstract","HAS_ATTRIBUTE",""
"Attribute:Abstract","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Authors","HAS_ATTRIBUTE",""
"Attribute:Authors","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Publication Venue","HAS_ATTRIBUTE",""
"Attribute:Publication Venue","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Publication Year","HAS_ATTRIBUTE",""
"Attribute:Publication Year","AttributeType:numeric","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Keywords","HAS_ATTRIBUTE",""
"Attribute:Keywords","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Description","HAS_ATTRIBUTE",""
"Attribute:Description","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Start Date","HAS_ATTRIBUTE",""
"Attribute:Start Date","AttributeType:date","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:End Date","HAS_ATTRIBUTE",""
"Attribute:End Date","AttributeType:date","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Funding Source","HAS_ATTRIBUTE",""
"Attribute:Funding Source","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Principal Investigator","HAS_ATTRIBUTE",""
"Attribute:Principal Investigator","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Name","HAS_ATTRIBUTE",""
"Attribute:Name","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Affiliation","HAS_ATTRIBUTE",""
"Attribute:Affiliation","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Email","HAS_ATTRIBUTE",""
"Attribute:Email","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Phone","HAS_ATTRIBUTE",""
"Attribute:Phone","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Research Interests","HAS_ATTRIBUTE",""
"Attribute:Research Interests","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Website","HAS_ATTRIBUTE",""
"Attribute:Website","AttributeType:text","HAS_TYPE",""
"Schema:Research papers, Projects, Researchers, Funding sources","Attribute:Contact Person","HAS_ATTRIBUTE",""
"Attribute:Contact Person","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:ProductID","HAS_ATTRIBUTE",""
"Attribute:ProductID","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:ProductName","HAS_ATTRIBUTE",""
"Attribute:ProductName","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Category","HAS_ATTRIBUTE",""
"Attribute:Category","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Price","HAS_ATTRIBUTE",""
"Attribute:Price","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Description","HAS_ATTRIBUTE",""
"Attribute:Description","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:OrderID","HAS_ATTRIBUTE",""
"Attribute:OrderID","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:CustomerID","HAS_ATTRIBUTE",""
"Attribute:CustomerID","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:OrderDate","HAS_ATTRIBUTE",""
"Attribute:OrderDate","AttributeType:date","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Status","HAS_ATTRIBUTE",""
"Attribute:Status","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:PaymentID","HAS_ATTRIBUTE",""
"Attribute:PaymentID","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:FirstName","HAS_ATTRIBUTE",""
"Attribute:FirstName","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:LastName","HAS_ATTRIBUTE",""
"Attribute:LastName","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Email","HAS_ATTRIBUTE",""
"Attribute:Email","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Phone","HAS_ATTRIBUTE",""
"Attribute:Phone","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:ReviewID","HAS_ATTRIBUTE",""
"Attribute:ReviewID","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Rating","HAS_ATTRIBUTE",""
"Attribute:Rating","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Comment","HAS_ATTRIBUTE",""
"Attribute:Comment","AttributeType:text","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:Amount","HAS_ATTRIBUTE",""
"Attribute:Amount","AttributeType:numeric","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:PaymentDate","HAS_ATTRIBUTE",""
"Attribute:PaymentDate","AttributeType:date","HAS_TYPE",""
"Schema:Products, Orders, Customers, Reviews, Payments","Attribute:PaymentMethod","HAS_ATTRIBUTE",""
"Attribute:PaymentMethod","AttributeType:text","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Extracurricular activities","HAS_ATTRIBUTE",""
"Attribute:Extracurricular activities","AttributeType:date","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Courses taken","HAS_ATTRIBUTE",""
"Attribute:Courses taken","AttributeType:date","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Attendance record","HAS_ATTRIBUTE",""
"Attribute:Attendance record","AttributeType:numeric","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:GPA","HAS_ATTRIBUTE",""
"Attribute:GPA","AttributeType:numeric","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Student ID","HAS_ATTRIBUTE",""
"Attribute:Student ID","AttributeType:numeric","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Grade level","HAS_ATTRIBUTE",""
"Attribute:Grade level","AttributeType:numeric","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Parent/guardian contact information","HAS_ATTRIBUTE",""
"Attribute:Parent/guardian contact information","AttributeType:text","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:First name","HAS_ATTRIBUTE",""
"Attribute:First name","AttributeType:text","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Last name","HAS_ATTRIBUTE",""
"Attribute:Last name","AttributeType:text","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Date of birth","HAS_ATTRIBUTE",""
"Attribute:Date of birth","AttributeType:date","HAS_TYPE",""
"Schema:Students, Teachers, Courses, Classes","Attribute:Gender","HAS_ATTRIBUTE",""
"Attribute:Gender","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:UserID","HAS_ATTRIBUTE",""
"Attribute:UserID","AttributeType:numeric","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Username","HAS_ATTRIBUTE",""
"Attribute:Username","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Email","HAS_ATTRIBUTE",""
"Attribute:Email","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Password","HAS_ATTRIBUTE",""
"Attribute:Password","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:DateOfBirth","HAS_ATTRIBUTE",""
"Attribute:DateOfBirth","AttributeType:date","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Gender","HAS_ATTRIBUTE",""
"Attribute:Gender","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Country","HAS_ATTRIBUTE",""
"Attribute:Country","AttributeType:text","HAS_TYPE",""
"Schema:User Profiles, Posts, Comments","Attribute:Occupation","HAS_ATTRIBUTE",""
"Attribute:Occupation","AttributeType:text","HAS_TYPE",""
